ind_ID	Adrenal_Gland	Artery_Aorta	Artery_Tibial	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-11VI4			-0.0137941283069739				0.00674006454279422	-0.0020577522737433		0.729802999831234			0.504286086859509	0.302344432972184		0.392730178264751	0.19029658512601
GTEX-11WQK		-0.488657549001016		-0.550592533029503			-0.180690919412973		-0.66432224885619		-0.148818093383172	0.342011315115777	-0.138679954530041	0.536338947511236			
GTEX-11XUK	-1.37941062123247		-0.515891649440403					-0.289826647443485		0.47494682706228				-0.668115852668796		-0.635194590918894	-0.760997946425413
GTEX-11ZTS		-1.3830176313587	-0.676435827803676	-0.463043102303565		0.173681594314132	-0.306254387745494	-0.410258364026825	-0.647850697178174		0.409104825173137			-0.102261428132936		1.00766041231834	
GTEX-11ZTT							-0.292393244805717		0.186819940488072				0.606709254592505	0.45913544327871		0.730612404280863	
GTEX-11ZUS			0.220263830517553	-0.403834591082186							-0.382474694848092	-0.479762246685591	-0.430192701380498		0.341752728788642		
GTEX-11ZVC		1.37709154185595	0.824660483573307								-0.228793533038097			-0.100159323203996		-0.242595904269511	
GTEX-1211K	-0.275843900809224	-0.169607653533088	0.631608821387721				-0.387268027354783	-0.327563244648064		-0.24689886707913			-0.0270297998878214	-0.0264004801813679		1.22127521452447	
GTEX-1212Z		-1.0140869026873	1.41665262354565				-0.116875306435673	0.221657534141925			0.119274312130308		0.200400402933889	0.0110041961758649	0.46187801069828	0.506143403025703	
GTEX-12584			-0.708062185841604		1.25620875622004						-0.717541527024171		-0.0537772381610868	-0.175548598059734		0.460627604979432	
GTEX-12BJ1	-0.308528725089326		-0.158697327649949				0.0984703318889979	-0.964820873748691	-0.397003375892777	-1.02681201419974		-0.941376668416239	-0.364484230124713		-0.823636913304186	0.778759365948772	
GTEX-12C56		-0.650456079444433	-1.78117054318274					0.125652757674153				-1.04987166097714	-0.263163335096134	-0.578588909346704	0.682818612675778		
