id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-13G51			0.235345944649829	0.17601543021367	-0.0626801542515469	-0.121082953893703	0.183642359238013	0.224581404708387	0.267113699722964	-0.268974953125759		-0.105397294501379	0.163357475383449	-0.0289754682243983	-0.240516613943682		-0.209957627871988
GTEX-13IVO				-0.214649850744136	-0.270881694270264	0.0388707759700831						0.0081070129502312		-0.00456542407692943	-0.292238969953152		0.351150612666298
GTEX-13JVG			0.0395864499424134	-0.030628051503381	-0.327724582412331	-0.0982122678105133				-0.0930260710638444		0.00997648538055008		-0.0348228732888554			0.037915541569683
GTEX-13N2G		0.0448799727885527		-0.361863516049287		-0.499045469865433	-0.107545951092181	0.105774985671985				0.123583138389967	-0.167370181217475	0.0722127604210333	0.00088768777280665	-0.0351681244209268	0.447275153346412
GTEX-13NYC			0.165255475261489	0.0460261541597123										-0.133523097838884	-0.137728818483874		-0.209189120762085
GTEX-13NYS			0.0860581748236383	-0.0674310678383637	0.0189688997472472	0.103690842980995	-0.0489309209651034					-0.0163901421606062	0.0220901809419841	-0.0170551826479848	-0.489086203453853		
GTEX-13NZ8			-0.25259057840266	-0.100131285935541	0.0181559253822921									0.00602427535553465	0.0338721903865759		-0.079833414095419
GTEX-13NZA				-0.281340936484876	-0.0671189026229131							0.207560659362764			-0.239773378728903	-0.00815152592635569	-0.0731922410667352
GTEX-13NZB			-0.113652807985072	-0.0433878937263443					0.221921055857523						-0.16200025618574	0.0242215069256131	
GTEX-13O1R		-0.0339475104783496		-0.182740343003423				0.168752694245913	0.287929954890285		0.291660509190452	-0.0546557836901398			-0.208459138642992	-0.00246250870880593	-0.143357292833294
GTEX-13O21	-0.100130864406189	0.0879712893982756	0.064293816293145	0.0152546966612518					-0.0117313196785045	0.571809061101575			-0.0417291202425713		-0.185418769564362	-0.0787744943441396	0.00717698032288537
GTEX-13O3O	-0.134028982691251	0.039807109020812	-0.134070547861006	-0.130124464811194	0.0395676919296052	-0.197734921492896	-0.29013224157968							0.047679351238256	-0.0990328492220726		0.348137693323185
GTEX-13O3P		0.0440307488420216	-0.0204831686233867	-0.0650724662215797											-0.202092143802258		0.0369662196482688
GTEX-13O3Q			0.158772277618217	-0.032939186077543	0.398651304557942	0.188458170607599	-0.0012467607433933		-0.0414860798875145					-0.213728565979998	-0.286861035802132		-0.0429457348407707
GTEX-13OVG		0.0212719635622287	-0.0961446616419095	0.289473134195185					0.143703443052539					0.17110451724716	-0.0243405529393901		0.0968472404869142
GTEX-13OVH			-0.273684851614426	-0.402231769098423	-0.0341077514356307	-0.290275205688263						-0.00653884075417022		-0.026007210179858	-0.160015661362337	-0.0941159532216326	
GTEX-13OVJ				0.0390734041606138	0.114200460441604	-0.00441393512759684	-0.156332200521135	0.167268189864763	0.150067941549079			-0.0174383478490436		-0.267872065847836	-0.168915098120116		0.326660855740812
GTEX-13OVK			0.000527731431697959	0.328722805532252				-0.671551147519771	0.506948547067197	-0.139930732614927				0.0230104512350164	-0.0981906243752862	-0.050534350345594	0.0234958422992731
GTEX-13OVL			-0.165173245576927	-0.198512777764963	-0.00596054342751019	-0.139748525599883				-0.13523801538952		0.11134865020161		-0.0283184049422061	-0.0716227118199203	0.063237491627367	
GTEX-13OW5		0.296667212118047		0.0786890880418901	-0.0036830941655193	0.787252112420566		0.247388693739357				-0.0162020669152248		-0.212339559694364	-0.233143476138011	0.15990662055255	-0.410264851735309
GTEX-13OW6	-0.0287965136580229	-0.0861588716458357	-0.156995972097309	-0.0296185216951162	-0.222392108938895	-0.200811478726791	-0.0965021389200476	0.201107380315483				0.162317436838991		0.0855185431189811	0.0829412078957478	0.0886225620052479	-0.00421838539736119
GTEX-13OW7	0.0186611343067971		-0.052031225677081	-0.16797342630536	-0.0271343398595113							0.077501807970676		-0.074658126488523	-0.148035367340007		-0.174940450044639
GTEX-13OW8		-0.00990043238899316	-0.253696506096022	-0.185704672231441	-0.0108653282309042	0.308892226437485	-0.759460023235346	-0.481708016844722	0.276585431520831			-0.00830568722346988	0.0126948327807966	-0.0689728361779966	0.0662681798533457	-0.0291914550009962	0.315960446771294
GTEX-13PL6			-0.0263348227368085	0.434444344847351		-0.134371812205163								0.0683581992386578			-0.0322244807092066
GTEX-13PL7	0.0927890796735696		0.0085986468191909	-0.307658343561706				0.39583221189768	-0.0355320190802787		0.127455168462205						
GTEX-13PVQ		0.0708261579155228	0.11151475511076	-0.378391662896034				0.115103345843824	0.137659344359698					0.054627057988692	-0.0338865793889529		-0.118638449869702
GTEX-13PVR	-0.15934484454171	-0.441379155713987	-0.111249400387414	-0.245920626448577				0.223107285622794	0.0664101020739684		0.0535741985774287			-0.0791093990582634	-0.208316161354644		0.117278743853623
GTEX-13QBU	-0.0393883002385926	-0.237567480646949	-0.358897205012944	0.293001320267449				0.0100928254594953	0.895538933307807	-0.0306295594360754				0.0454611150095265			0.00726298444750809
GTEX-13QIC			0.000144495273802253	0.0706614219566013	0.107949400539507												
GTEX-13QJ3			-0.115040089953536	-0.132631692125265					0.0317970573319574						-0.140625556236982	0.0863064039482592	-0.0964026243541303
GTEX-13QJC			-0.145629417531226	0.0118199649119704	0.00883385678673154	-0.158399730683746	0.0738191551389361			0.456220543137177		-0.32388905841878		0.0897688291885108			0.347463226834514
GTEX-13RTJ			-0.408585169666353	-0.122108383845947	0.0522344177648533	0.036226000480087	-0.165682026053357	-0.589561310553513				0.0444630997193062	0.0766329516798174	-0.0583133769683086	0.233118745496065		0.0605119682044441
GTEX-13RTK		-0.0216108633087991	-0.0946997462891306	0.0478121067198678					0.137500844468969						0.126173963554001		0.33393583985112
GTEX-13S86			-0.0285811115692115	0.156879122671049					0.086482680782963								-0.048257729865763
GTEX-13SLW				-0.195816489132598	0.192432440637925	0.0710524443079025	0.118056290601617	0.224106232293618				-0.298594204186776		0.026903603073012	0.101236579496698		
GTEX-13U4I		-0.104890027219306	-0.0335255049581543	-0.138880922885783				0.16688071440941	0.061180028981505		0.165565955734934			0.119048728105399	0.0733071766443568		-0.304887556647188
GTEX-13VXU			-0.0549765464460266	-0.0390119508122144		0.161454027669445						0.120001307588665		-0.0817614050464799	-0.224724453999663	0.0645509729075272	-0.194256877245006
GTEX-13W3W	-0.0503962081644396	-0.0618481888067471	-0.0643630070431804	-0.0478329960692055					0.293927328723966		0.0226065153963964			-0.0309674707470904	-0.26962190279137		
GTEX-13W46		-0.0281398219974327	0.0226959382692387	-0.204155009447292					-0.0494724022345669						-0.429046466566215		-0.173994142938784
GTEX-13X6H			0.232945209776078	-0.122979598921675					0.0466670679836033		0.0516772030513429			-0.009801742225218	-0.199811542334746		-0.411921650680205
GTEX-13X6I		-0.198094000658306		0.4088112546673	-0.0338835013728406		0.0736591640817573	-1.15764316570022	-0.0909914678204184					0.167749226699899	0.258927835350478		
GTEX-13X6J				-0.341746765809793	0.0970222821635714	0.0486832937421652		-0.578375806660193				0.0185580566143797		-0.0497820414497493	0.0295947520508644		0.117575835067194
GTEX-13X6K		0.131874035296094	0.177287470683959	0.000802692486090535	0.0113957219431414	-0.147903810635482	0.118570188625609	0.0322096387681947	0.381442403380689			-0.117550209914664		-0.0577476013645874			
GTEX-145MF			0.035078744051879	0.017402247816387					0.0885864996653959			-0.0608764242199578		0.0338130771321341	-0.205463306022711	0.0456697385698237	
GTEX-145MH		0.021098716308533	-0.00245507888195939	-0.385896753791723	-0.0173889044216774	-0.101710521360111		0.131184529807934				0.0050387727742589		0.031136065965902		-0.0671764612641297	-0.0625062095125448
GTEX-145MI				0.163284042859891		0.00995049623997032								-0.0445417366756103	0.00495926088356682		0.418989087234728
GTEX-145MO		0.0968692517509608	-0.112011862346191	-0.155661598366488				0.191087031270277	0.0387260765102685		0.129128730035543	0.111588329206523		-0.0204300162971578	-0.12315430788697	-0.118289008088671	
GTEX-146FH		-0.233801552179443	-0.40225852572292	0.139991358363904				0.120211590931571	0.802941271750172						0.133187069670278		
GTEX-146FQ		0.0617533412455076	-0.0640294903316568	-0.195366563171546					-0.0478780409267217		0.104282949938469		-0.0886056235546084	-0.0198327923091022	-0.157906417449472		0.279897912345483
GTEX-146FR	-0.0377953310106704	-0.011832150246987	-0.242579224953427	-0.0844970467716754					0.0440702517944258	-0.103604520022627	-0.0100367868691076				-0.11211527357888		0.60072912193613
GTEX-14753	0.198790117922487		-0.00422936631969695	-0.183464923487134								0.411603358729075		-0.0371905114694967	0.0663125853889084	-0.159230686132145	0.309685164726001
GTEX-1477Z				-0.0172986006459468	0.0152147108085175			0.177915507651483				-0.00235902274826666	0.112282587926277	-0.0599830505006949			0.0917354266100243
GTEX-147F4	-0.0829739887166605	-0.00158567024629017	0.0708540036487338	-0.0718657128996031	0.0322025000246996							-0.142223528310745		-0.02622607958009	-0.287364243589967	-0.0461652481901323	-0.317484025774317
