id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	AverageContext	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-12BJ1	0.0519501206239572		0.0563890296125784	0.00294468851228227				-0.310754248402681	-0.0119698846335988	-0.0592596541163699	-0.126588679292072		0.263447495682734	0.0962812429195145		-0.223828948193613	0.292327817341833	
GTEX-12C56		-0.271765618661075	0.115462309542413	0.0150473093770109					0.0934858340142209				-0.0623273889082135	-0.149369695320959	0.37949721927177	0.150337681718475		
GTEX-12KS4		-0.0343388732709039		-0.0238246506886966				-0.0980390173975803	-0.394689344456406					-0.189241100001079	0.870255835294882			
GTEX-12WSA				0.016347771077457	-0.117490324227562		-0.107828762612133		-0.114885062730809					0.0915859522419348	-0.0961710080005726			
GTEX-12WSE				0.0245687909638312		0.0908332312442829						0.367484783147925			0.133936468554273		-0.145485259285886	
GTEX-12WSF				0.0948487130304587		-0.0911613281611524	-0.139833440410214					0.202481017064637		0.251737825962325				
GTEX-12WSG	-0.0131630166627451			0.0450746998341736				-0.0932427326798159	0.0240508635555048		0.190056978762577				0.321508918291849		0.128528396142592	
GTEX-12WSH			0.0341183192027681	-0.0719281088182073		0.0277524090905438	-0.0483168527816798					0.0203758375835404		-0.165564099258511		0.0166989754697716	-0.10896642377948	
GTEX-12WSJ	-0.102028779253146			-0.00218668478500163				-0.555177370609119						-0.268255675388685	0.537083198954637		0.00749755080896919	-0.0206107738425484
GTEX-12WSK	0.067726692066845	-0.112344660596026	-0.0756249844255587	-0.0113841359748899					-0.332520607750927		0.200471609928091			-0.178387741500623	0.298364931592029		0.136544438560286	
GTEX-12WSL	-0.034938375321265		0.126900332499346	0.0940393216542436				0.00270558261938775	-0.144252339331347	0.207761365506663	0.305070412525298			0.120218023735874	0.0220097367801563	-0.0319131483295704	0.01597925920889	
GTEX-12WSM			0.310844016334979	0.0760653171326745	0.288391473551535	-0.123006385709796		-0.424993690739854		-0.440022230713045		-0.0308661011957083		-0.223137817349879		0.167877398851144		
GTEX-12WSN	0.339966351112002	-0.246393045768928	0.0182659270186445	0.0653417263753468						-0.538257135735107	-0.0563269038727065			0.00139178908550588	-0.0606435681956667		-0.216058369039896	
GTEX-12ZZW			-0.0565529531544481	-0.0336404952524503		0.148625011137847		-0.0479889702647385	0.537528996801899			0.198530183293756						
GTEX-12ZZY		-0.0813104563595685	-0.0160000373672171	-0.0789164009307361		0.199887906828731		-0.316249630566562	-0.165058471699164			0.160675579464169		-0.400007716664238	0.871951902336129	0.100851389056865	-0.0165849320248602	
GTEX-12ZZZ	0.320097654826641			-0.00061396001051804		-0.0774938591350907							0.07203349783814	0.165492606246545	-0.127761638723391		0.293880035639838	
GTEX-13111	0.00838052817965779	-0.038123340945047	0.0359635424592888	0.00618879397933419				-0.39726402134649	0.156112763788144	0.0756695041613398			-0.0416318750118594		0.429964961910969	-0.0645867015613624	0.159866581721547	
GTEX-13112				0.00661872806665328	-0.170815982476823	-0.102520730410371						-0.110984468208226		0.0940531310063983	0.016050918008783	0.011558580242757	0.0661025936568314	
GTEX-1313W		-0.132118040661674		0.0188398956608668	0.108981448549929	-0.120699498687505	-0.0166878983156269					-0.0429836359076509		-0.726279868948221	0.739261560739406		-0.162816154503635	
GTEX-1314G			-0.254928841980523	-0.0124028910822022						0.0677791785388634				-0.235003278559318	0.036828492924947			
