id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	AverageContext	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-11EMC	0.0512207169680124	-0.0209818945420992	-0.0161646812231181					0.395084356016807	-0.0223769647329114	-0.248673036561554		0.068391429401762			-0.00759053624053011		-0.299296053710614	0.2423442247275
GTEX-11EQ8			1.56287074290938											2.07546633119976		1.80718507482742	1.6229879612097	
GTEX-11EQ9	-0.50473566838456		-0.449864616548273					-0.48076972345611	-0.483049277787446	-0.316056516189651	-0.148268005549713		-0.445850397505828	-0.560841304968105	-0.198863076789185	-0.444888654616867	-0.515145298886141	
GTEX-11GS4		0.114004526994164	0.123820811522591					0.162607412532378				0.113414114016621		0.145520456081781	0.0655047419483781	0.120926483795157	0.436311775780389	
GTEX-11GSO												0.635519386057206			0.192446370671493		0.592119229071919	
GTEX-11GSP	-0.817251676940867	-0.554748512037617	-0.671011971947743						-0.774403610073163		-0.516542566420208	-1.10681551297274		-0.878063532491727	-0.289648590577077			-0.528824187293995
GTEX-11I78	-0.280651926790488	-0.126654061255161	-0.149856691096361					-0.279191739382157	0.0792935839028734		-0.0737970035702182						-0.0733522500106663	-0.143403356984426
GTEX-11LCK		0.21720993937118	0.277820068142266						0.340993398140304		0.394433608963233			0.325599471367412	0.115835334694907	0.339624206352846	0.241121022135964	
GTEX-11NUK		0.255890334744316	0.31312026933536						0.439828871524146			0.475958373623623		0.314381234290558	0.138349286433999	0.341838085906952	0.315438206864659	
GTEX-11P81		0.0139255981905235	-0.0124445000795361					-0.146754473106726	-0.034181127128607	-0.00967837567498803				0.0236655157976325	0.0108095398313797		-0.0344079709504991	-0.068817340183708
GTEX-11P82		-0.0651568149345535							0.065870806216404	-0.0468876604644201			-0.0294645337729856	-0.0830606347396598	-0.0307756095060242	-0.0408691997251433	-0.326996145868282	
GTEX-11TTK															0.359938403987128		1.14973359471168	0.429874383463582
GTEX-11TUW		0.413871781318701	0.525911588652351					0.606337583888856	0.698966055232226	0.228427679866476		0.9724738683253	0.622317901601325	0.702552337744574	0.219108844047578	0.596697325710322	0.0674350076679743	
GTEX-11UD2		0.238056511919701	0.293159351975438											0.336960251017109	0.131362338232139		0.507395077289055	
GTEX-11VI4			0.141995803084109					0.340596827183567	0.102174087903392		0.295560799939111			0.207620754912597	0.0792177559104389		0.481091076263151	0.0736031510241719
GTEX-11WQK		-0.0826177077081399			0.0108110478788392			-0.0091709836843504		-0.112019003675099		0.239762816371054	-0.101250665569472	-0.213454048928652	-0.0349911703580571			
GTEX-11XUK	-0.320744015166013		-0.0512595607774026						0.193018952872948		0.356826079285494				-0.0169000580032806		-0.319538506104668	0.0892220262686108
GTEX-11ZTS		0.373185006159042	0.469710411147162		0.515435554174497		0.576391120001403	0.62299835940865	0.665530778721216	0.374585205344199		1.06894142351446			0.203327242141531		0.504138231468086	
GTEX-11ZTT								0.53175927281128		0.129688119635226				0.36514049390089	0.106396888855661		0.0767761548269947	
GTEX-11ZUS			-0.163587839831141		-0.271322274832445							-0.254241416593324	-0.104554504723957	-0.0853750997951194		-0.172580410443298		
GTEX-11ZVC		-0.317438354750173	-0.337087302739559									-0.559833700659888			-0.158787291991584		-0.140153314314292	
GTEX-1211K	0.403930037420699	0.238974000429916	0.299911640639859					0.350330428904985	0.377316274951907		0.171140744095226			0.344939971703824	0.130243864497294		0.0887625183031214	
GTEX-1212Z		0.636085409114841	0.760746294161703					0.812976952026436	0.873709595783666			1.41423849279517		0.985120260839284	0.341011024741281	0.866363292986019	0.907009685178705	
GTEX-12584			-0.574608917086635			-0.346379888733201						-0.625549181422645		-0.663808558801238	-0.259367952090336		-0.966973252292416	
GTEX-12BJ1	-0.239027085897944		-0.256048667874889					-0.470367792910258	-0.283378157614615	-0.190718913178538	-0.507625781676134		-0.34487069635595	-0.433792065872168		-0.325005437193607	0.0647955103561595	
GTEX-12C56		0.245551503766856	0.313614887173457						0.462046348092436				0.423533320902364	0.411446731678079	0.131977709307704	0.38223378816446		
GTEX-12KS4		0.076337687570824						0.0442299333553537	-0.0440383585379195					0.149913635184138	0.0386499614576275			
